player,player_id,country,team,match_played,minutes_played,subbed_in,subbed_out,unique_positions_played,positions_played,full_match_equivalents,position_level_0,position_level_2,position_level_1
Serge Gnabry,8400.0,Germany,West Bromwich Albion,0.0,0.0,0.0,0.0,['Right Midfield'],['Right Midfield'],0.0,Midfielder,Right Midfield,Central Midfielder
Maximilian Eggestein,8401.0,Germany,Werder Bremen,4.0,186.0,2.0,2.0,"['Center Attacking Midfield', 'Right Center Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing']","['Center Attacking Midfield', 'Left Wing', 'Left Center Forward', 'Left Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Left Center Forward', 'Right Center Midfield', 'Right Center Midfield']",2.066666666666667,Midfielder,Right Center Midfield,Central Midfielder
Aron Jóhannsson,8402.0,United States of America,Werder Bremen,10.0,467.0,5.0,5.0,"['Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield']","['Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward']",5.188888888888889,Forward,Right Center Forward,Striker
Nadiem Amiri,8403.0,Germany,Hoffenheim,24.0,1466.0,8.0,8.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Wing']","['Left Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Center Forward', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield']",16.288888888888888,Midfielder,Center Attacking Midfield,Offensive Midfielder
Eugen Polanski,8404.0,Poland,Hoffenheim,27.0,1824.0,7.0,7.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Right Wing', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Wing']","['Left Defensive Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Left Wing', 'Left Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Right Wing', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Wing Back', 'Left Center Midfield']",20.266666666666666,Midfielder,Left Defensive Midfield,Defensive Midfielder
Benjamin Hübner,8405.0,Germany,Ingolstadt,32.0,2710.0,2.0,2.0,['Left Center Back'],"['Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Left Center Back']",30.11111111111111,Defender,Left Center Back,Regular Defender
Ádám Szalai,8407.0,Hungary,Hannover 96,8.0,634.0,1.0,1.0,"['Center Attacking Midfield', 'Right Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward']","['Center Forward', 'Right Wing', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Right Center Forward', 'Right Midfield', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Center Attacking Midfield', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward', 'Right Center Forward']",7.044444444444444,Forward,Right Center Forward,Striker
Duje Čop,8419.0,Croatia,Málaga,46.0,2315.0,21.0,21.0,"['Center Attacking Midfield', 'Left Back', 'Right Wing', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Left Wing']","['Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Defensive Midfield', 'Left Center Forward', 'Left Wing', 'Right Wing', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Left Center Forward', 'Left Back', 'Left Wing', 'Right Center Forward', 'Left Center Forward', 'Left Center Forward', 'Right Center Forward', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing', 'Center Attacking Midfield', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield']",25.72222222222222,Forward,Right Center Forward,Striker
Luca Cigarini,8420.0,Italy,Atalanta,28.0,1921.0,7.0,7.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Back', 'Center Defensive Midfield', 'Left Defensive Midfield']","['Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Back', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Right Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Center Attacking Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield']",21.344444444444445,Midfielder,Left Center Midfield,Central Midfielder
Matteo Bianchetti,8421.0,Italy,Hellas Verona,18.0,1534.0,1.0,1.0,"['Right Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Back', 'Left Center Back', 'Right Wing Back', 'Left Center Forward', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Left Center Forward', 'Right Center Back', 'Right Center Back', 'Right Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Midfield', 'Right Back', 'Right Center Back', 'Right Back', 'Right Midfield', 'Right Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Wing Back', 'Right Center Back', 'Right Center Midfield', 'Right Center Back', 'Right Center Back']",17.044444444444444,Defender,Right Center Back,Regular Defender
Ľubomír Tupta,8422.0,Slovakia,Hellas Verona,0.0,0.0,0.0,0.0,[],[],0.0,,,
Pedro Miguel Almeida Lopes Pereira,8423.0,Portugal,Sampdoria,10.0,641.0,3.0,3.0,"['Left Back', 'Right Back', 'Right Center Back']","['Right Back', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Right Back', 'Left Back', 'Right Back', 'Right Back', 'Right Center Back', 'Right Back', 'Right Back']",7.122222222222222,Defender,Right Back,Offensive Defender
Marco Tumminello,8424.0,Italy,AS Roma,0.0,0.0,0.0,0.0,"['Center Forward', 'Left Wing']","['Left Wing', 'Center Forward']",0.0,Forward,Center Forward,Striker
Aythami Artiles Oliva,8440.0,Spain,Las Palmas,31.0,2704.0,1.0,1.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Wing', 'Left Center Back', 'Center Defensive Midfield', 'Center Back', 'Right Center Back']","['Center Back', 'Right Center Back', 'Right Wing', 'Center Attacking Midfield', 'Left Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Midfield', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Left Center Back', 'Left Center Back', 'Right Center Back', 'Left Center Back', 'Right Center Back', 'Center Back', 'Center Defensive Midfield', 'Right Midfield', 'Center Back', 'Center Back', 'Center Back', 'Right Center Back', 'Center Back', 'Right Center Back']",30.044444444444444,Defender,Right Center Back,Regular Defender
Gabriele Angella,8442.0,Italy,Watford,0.0,0.0,0.0,0.0,[],[],0.0,,,
Dušan Basta,8443.0,Serbia,Lazio,24.0,1899.0,3.0,3.0,"['Right Wing', 'Right Back']","['Right Back', 'Right Back', 'Right Back', 'Right Wing', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back', 'Right Back']",21.1,Defender,Right Back,Offensive Defender
Edson Braafheid,8459.0,Netherlands,Lazio,3.0,270.0,0.0,0.0,['Left Back'],"['Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",3.0,Defender,Left Back,Offensive Defender
Urby Emanuelson,8463.0,Netherlands,Hellas Verona,8.0,548.0,2.0,2.0,"['Left Center Midfield', 'Right Midfield', 'Left Wing Back', 'Left Back', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing']","['Left Defensive Midfield', 'Left Midfield', 'Left Center Midfield', 'Left Midfield', 'Left Back', 'Left Back', 'Left Wing', 'Left Midfield', 'Left Defensive Midfield', 'Left Center Midfield', 'Left Back', 'Left Center Midfield', 'Left Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing Back', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Right Midfield', 'Left Midfield', 'Left Defensive Midfield']",6.088888888888889,Midfielder,Left Midfield,Central Midfielder
Jean-Christophe Bahebeck,8469.0,France,Saint-Étienne,20.0,933.0,10.0,10.0,"['Center Attacking Midfield', 'Right Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Right Wing', 'Center Defensive Midfield', 'Left Wing']","['Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Wing', 'Right Wing', 'Right Defensive Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Center Defensive Midfield', 'Right Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing']",10.366666666666667,Forward,Left Wing,Winger
Ismail Azzaoui,8478.0,Belgium,Wolfsburg,0.0,0.0,0.0,0.0,"['Right Wing', 'Left Wing']","['Left Wing', 'Right Wing', 'Right Wing']",0.0,Forward,Right Wing,Winger
Pedro Chirivella Burgos,8485.0,Spain,Liverpool,2.0,94.0,1.0,1.0,['Right Center Midfield'],['Right Center Midfield'],1.0444444444444445,Midfielder,Right Center Midfield,Central Midfielder
Bastian Oczipka,8504.0,Germany,Eintracht Frankfurt,30.0,2700.0,0.0,0.0,"['Left Center Midfield', 'Left Wing Back', 'Left Back', 'Left Midfield', 'Left Center Back']","['Left Center Back', 'Left Midfield', 'Left Center Back', 'Left Back', 'Left Wing Back', 'Left Center Back', 'Left Back', 'Left Wing Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Center Midfield', 'Left Midfield', 'Left Back', 'Left Center Midfield', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back', 'Left Back']",30.0,Defender,Left Back,Offensive Defender
Max Meyer,8508.0,Germany,Schalke 04,46.0,2478.0,19.0,19.0,"['Center Attacking Midfield', 'Right Center Forward', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Midfield', 'Left Attacking Midfield', 'Right Wing', 'Left Defensive Midfield', 'Right Wing Back', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Right Center Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Forward', 'Left Wing', 'Right Wing Back', 'Center Attacking Midfield', 'Left Midfield', 'Left Center Forward', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Wing Back', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Wing', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Left Midfield', 'Left Center Forward', 'Left Attacking Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Left Midfield', 'Left Center Forward', 'Left Midfield', 'Left Midfield', 'Left Midfield', 'Center Attacking Midfield', 'Right Center Forward', 'Left Defensive Midfield']",27.53333333333333,Midfielder,Center Attacking Midfield,Offensive Midfielder
Jean-Kévin Augustin,8510.0,France,Paris Saint-Germain,7.0,369.0,3.0,3.0,"['Right Wing', 'Center Forward', 'Left Midfield', 'Left Wing']","['Right Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Forward', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing', 'Right Wing']",4.1,Forward,Right Wing,Winger
Thilo Kehrer,8511.0,Germany,Schalke 04,0.0,0.0,0.0,0.0,['Right Defensive Midfield'],['Right Defensive Midfield'],0.0,Midfielder,Right Defensive Midfield,Defensive Midfielder
Franco Matías Di Santo,8512.0,Argentina,Schalke 04,18.0,1184.0,5.0,5.0,"['Center Attacking Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Wing', 'Left Center Back', 'Left Defensive Midfield', 'Right Center Forward', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Right Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Center Forward', 'Center Forward', 'Right Wing', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Center Forward', 'Right Center Forward', 'Center Attacking Midfield', 'Left Center Forward', 'Left Center Back', 'Left Center Forward', 'Right Center Forward', 'Right Midfield', 'Left Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Right Center Forward', 'Left Center Forward', 'Right Center Forward', 'Center Forward', 'Right Center Forward', 'Center Forward', 'Left Center Forward', 'Right Midfield', 'Left Center Forward', 'Right Midfield', 'Right Center Forward', 'Left Wing', 'Right Center Forward', 'Right Wing', 'Left Center Forward', 'Right Center Forward', 'Right Center Forward']",13.155555555555557,Forward,Right Center Forward,Striker
Matija Nastasić,8514.0,Serbia,Schalke 04,2.0,91.0,1.0,1.0,['Left Center Back'],"['Left Center Back', 'Left Center Back']",1.011111111111111,Defender,Left Center Back,Regular Defender
Benjamin Stambouli,8515.0,France,Paris Saint-Germain,25.0,1548.0,8.0,8.0,"['Right Center Midfield', 'Right Defensive Midfield', 'Right Wing', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Left Wing']","['Right Center Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Midfield', 'Left Wing', 'Right Center Midfield', 'Right Wing', 'Right Center Midfield', 'Center Defensive Midfield', 'Right Center Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Right Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Center Defensive Midfield', 'Left Defensive Midfield', 'Center Defensive Midfield']",17.2,Midfielder,Center Defensive Midfield,Defensive Midfielder
Ronaldo Aparecido Rodrigues,8516.0,Brazil,Wolfsburg,30.0,2612.0,1.0,1.0,"['Center Forward', 'Right Center Back']","['Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Center Forward', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back']",29.022222222222226,Defender,Right Center Back,Regular Defender
Ralf Fährmann,8517.0,Germany,Schalke 04,35.0,3061.0,1.0,1.0,['Goalkeeper'],"['Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper', 'Goalkeeper']",34.01111111111111,Goalkeeper,Goalkeeper,Goalkeeper
Nabil Bentaleb,8520.0,Algeria,Tottenham Hotspur,3.0,184.0,1.0,1.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Left Defensive Midfield']","['Left Center Midfield', 'Left Center Midfield', 'Left Center Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']",2.0444444444444443,Midfielder,Left Center Midfield,Central Midfielder
Daniel Caligiuri,8521.0,Germany,Wolfsburg,27.0,1818.0,7.0,7.0,"['Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Left Wing Back', 'Left Midfield', 'Right Wing', 'Right Back', 'Right Center Forward', 'Center Forward', 'Left Wing']","['Left Center Midfield', 'Left Midfield', 'Right Midfield', 'Right Back', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Right Center Midfield', 'Right Wing', 'Left Center Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Right Wing', 'Center Forward', 'Left Center Midfield', 'Right Midfield', 'Left Wing', 'Left Midfield', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Left Wing Back', 'Right Midfield', 'Right Center Forward', 'Left Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Right Midfield', 'Left Center Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Right Midfield', 'Right Wing', 'Left Wing', 'Left Center Midfield', 'Right Center Midfield']",20.2,Midfielder,Right Midfield,Central Midfielder
Armindo Tué Na Bangna,8522.0,Portugal,Real Sociedad,25.0,1287.0,11.0,11.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Center Midfield', 'Left Midfield', 'Right Wing', 'Left Defensive Midfield', 'Left Center Forward', 'Center Forward', 'Left Wing']","['Center Forward', 'Right Wing', 'Center Forward', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Center Midfield', 'Left Center Midfield', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Wing', 'Center Forward', 'Left Midfield', 'Left Wing', 'Left Wing', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Midfield', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Midfield', 'Left Defensive Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Center Forward']",14.3,Forward,Left Wing,Winger
Yevhen Konoplyanka,8523.0,Ukraine,Sevilla,23.0,1376.0,8.0,8.0,"['Center Attacking Midfield', 'Right Midfield', 'Right Center Midfield', 'Right Defensive Midfield', 'Left Wing Back', 'Left Midfield', 'Right Wing', 'Right Back', 'Center Forward', 'Left Wing']","['Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Center Forward', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Left Wing', 'Right Defensive Midfield', 'Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Right Defensive Midfield', 'Left Wing', 'Left Midfield', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Wing', 'Left Wing', 'Left Midfield', 'Right Wing', 'Left Wing', 'Left Wing', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Right Back', 'Left Wing', 'Left Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Center Attacking Midfield', 'Left Wing', 'Right Midfield', 'Left Midfield', 'Right Center Midfield', 'Left Wing', 'Left Midfield']",15.28888888888889,Forward,Left Wing,Winger
Waldemar Anton,8538.0,Germany,Hannover 96,7.0,542.0,1.0,1.0,"['Right Defensive Midfield', 'Right Wing', 'Left Center Back', 'Right Center Forward', 'Right Center Back']","['Right Defensive Midfield', 'Right Wing', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Center Back', 'Right Defensive Midfield', 'Right Center Back', 'Right Defensive Midfield', 'Left Center Back', 'Right Center Forward']",6.022222222222222,Defender,Right Center Back,Regular Defender
Danny Latza,8539.0,Germany,FSV Mainz 05,29.0,1821.0,9.0,9.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Defensive Midfield', 'Center Back', 'Right Center Back']","['Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Back', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Right Defensive Midfield', 'Right Defensive Midfield', 'Right Center Back', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield']",20.23333333333333,Midfielder,Left Defensive Midfield,Defensive Midfielder
Kenan Karaman,8541.0,Turkey,Hannover 96,23.0,1723.0,4.0,4.0,"['Center Attacking Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Wing Back', 'Left Midfield', 'Right Attacking Midfield', 'Right Wing', 'Left Wing']","['Right Wing', 'Left Wing', 'Right Wing', 'Left Wing', 'Left Midfield', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield', 'Left Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Wing', 'Right Midfield', 'Right Midfield', 'Right Midfield', 'Left Midfield', 'Left Center Midfield', 'Right Midfield', 'Left Center Midfield', 'Right Wing', 'Center Attacking Midfield', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Wing Back', 'Left Wing', 'Left Wing', 'Left Midfield', 'Left Midfield', 'Right Attacking Midfield', 'Left Midfield', 'Left Wing', 'Right Wing', 'Right Attacking Midfield', 'Right Wing', 'Right Wing', 'Left Wing', 'Right Wing', 'Right Midfield', 'Left Midfield']",19.14444444444445,Midfielder,Left Midfield,Central Midfielder
Felipe Trevizan Martins,8542.0,Brazil,Hannover 96,1.0,90.0,0.0,0.0,"['Center Attacking Midfield', 'Right Defensive Midfield', 'Left Back', 'Left Midfield', 'Left Center Back', 'Left Defensive Midfield', 'Right Center Forward', 'Center Forward']","['Right Defensive Midfield', 'Left Back', 'Center Attacking Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Left Midfield', 'Right Center Forward', 'Center Forward', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Defensive Midfield', 'Center Attacking Midfield', 'Left Center Back']",1.0,Midfielder,Center Attacking Midfield,Offensive Midfielder
